,0
2015-01-01,0.72
2015-02-01,0.76
2015-03-01,0.99
2015-04-01,0.95
2015-05-01,0.5
2015-06-01,0.57
2015-07-01,0.48
2015-08-01,0.5
2015-09-01,0.4
2015-10-01,0.41
2015-11-01,0.34
2015-12-01,0.71
2016-01-01,0.68
2016-02-01,1.128999999999998
2016-03-01,0.86
2016-04-01,0.63
2016-05-01,0.48
2016-06-01,0.51
2016-07-01,0.47
2016-08-01,0.46
2016-09-01,0.45
2016-10-01,0.44
2016-11-01,0.43
2016-12-01,0.59
2017-01-01,0.69
2017-02-01,0.9
2017-03-01,0.69
2017-04-01,0.72
2017-05-01,0.46
2017-06-01,0.49
2017-07-01,0.46
2017-08-01,0.61
2017-09-01,0.49
2017-10-01,0.61
2017-11-01,0.4
2017-12-01,0.72
2018-01-01,0.72
2018-02-01,0.81
2018-03-01,0.73
2018-04-01,0.86
2018-05-01,0.59
2018-06-01,0.54
2018-07-01,0.46
2018-08-01,0.4
2018-09-01,0.43
2018-10-01,0.37
2018-11-01,0.31
2018-12-01,0.56
2019-01-01,0.57
2019-02-01,0.86
2019-03-01,0.66
2019-04-01,0.71
2019-05-01,0.45
2019-06-01,0.49
2019-07-01,0.48
2019-08-01,0.45
2019-09-01,0.48
2019-10-01,0.39
2019-11-01,0.3
2019-12-01,0.28300000000000003
2020-01-01,0.56
2020-02-01,0.95
2020-03-01,0.76
2020-04-01,0.57
2020-05-01,0.49
2020-06-01,0.5
2020-07-01,0.45
2020-08-01,0.45
2020-09-01,0.49
2020-10-01,0.37
2020-11-01,0.32
2020-12-01,0.36
2021-01-01,0.44
2021-02-01,0.84
2021-03-01,1.01
2021-04-01,0.57
2021-05-01,0.45
2021-06-01,0.52
2021-07-01,0.61
2021-08-01,0.44
2021-09-01,0.5
2021-10-01,0.38
2021-11-01,0.35
2021-12-01,0.55
2022-01-01,0.62
2022-02-01,0.78
2022-03-01,1.128999999999998
2022-04-01,0.64
2022-05-01,0.49
2022-06-01,0.51
2022-07-01,0.47
2022-08-01,0.55
2022-09-01,0.42
2022-10-01,0.38
2022-11-01,0.29
2022-12-01,0.34
2023-01-01,0.52
2023-02-01,0.79
2023-03-01,0.53
2023-04-01,0.63
2023-05-01,0.48
2023-06-01,0.41
2023-07-01,0.37
2023-08-01,0.57
2023-09-01,0.42
2023-10-01,0.68
2023-11-01,0.44
2023-12-01,0.34
2024-01-01,0.47
2024-02-01,0.82
2024-03-01,0.8
2024-04-01,0.58
2024-05-01,0.52
2024-06-01,0.53
2024-07-01,0.51
2024-08-01,0.54
2024-09-01,0.41
2024-10-01,0.37
2024-11-01,0.28300000000000003
2024-12-01,0.38
2025-01-01,0.49
2025-02-01,0.7
2025-03-01,0.54
2025-04-01,0.57
2025-05-01,0.52
2025-06-01,0.42
2025-07-01,0.46
2025-08-01,0.58
2025-09-01,0.46
2025-10-01,0.36
2025-11-01,0.31
