,brent,usdngn,ttf_jkm,jkm_netback,ghi,dni,temp_c,precip_mm,aerosol_od,fx_reserves,inflation,gas_price,harmattan,fm_dummy,pipeline_down,vandalism_idx,plant_age_gas,gas_to_power,domestic_alloc,eaf,Transmission_Loss_factor,freq_collapse,load_variance,ATC&C,Tech_&_commercial_loss,collection_loss,receivables,Total_E_Billed_by_Disco,Total_E_paid_to_Disco,market_shortfall,disco_collect,Billing_efficiency,nbet_ratio,gas_cf,solar_cf,Gas_constraint,Distribution_constraint,Transmission_constraint
brent,1.0,0.37376078393027656,0.7386856529744141,0.7849898205566125,-0.07557318886515982,-0.1489241266125614,0.021874029047174847,0.20186555227238742,-0.08818540045648017,0.3591723460733486,0.32046009934400166,0.49546538795314143,-0.19990901330539765,,-0.12381158188417804,0.18775532294028938,0.5544863928598924,0.26852514381849996,-0.5730379412660743,-0.45551432353136206,-0.09792330405952207,-0.37994354914659856,-0.3876423582955707,-0.519724261284532,0.27345532689979113,-0.44945448322437553,0.04444615849672922,0.1183298122153973,0.13266314469044074,-0.32401117015407294,0.6212049220612543,0.12348628864977039,0.5667865748820669,0.39482420326101425,-0.14547596364659593,-0.46328404137977386,0.050072588987681604,0.10316892654940563
usdngn,0.37376078393027656,1.0,0.13634974210711512,0.36718339498680824,-0.016621244901387368,-0.005646750329923217,0.25209671792732324,0.045131300652004276,-0.271601476673513,0.15918237444081618,0.9456938543172303,0.7696899949413364,-0.16068046463736632,,-0.15604134958819751,0.05247449973764336,0.8568000566983581,-0.24210057320867787,0.2964543418751077,-0.5965402105975702,-0.07465696041052101,-0.29987681553418816,0.25424502238784313,-0.8551662746414577,-0.4567262485291511,-0.855727638715879,0.7132620896090429,0.7523322432631845,0.7623170073714557,0.2800945570115122,0.830420266491699,0.6350690946478366,0.813696014115088,0.04986497987777939,-0.07720006632747022,0.27299363140834354,0.6901167321290299,-0.4548214175398589
ttf_jkm,0.7386856529744141,0.13634974210711512,1.0,0.8282181789369777,-0.09415705988818344,-0.05146696960678411,-0.21869800220734995,0.19116240788627967,-0.1377675566712358,0.2121173422826181,0.1489163685338049,0.4462347732840343,-0.10292231335229707,,-0.016904671135838042,0.16373627364870735,0.40694581314518463,0.1721018853076364,-0.5728123715143822,-0.4352045490563412,-0.14025025888329973,-0.26898205547928306,-0.23784690600570985,-0.2536414286828651,0.5235433921071725,-0.2875441412764773,0.03705193528302653,0.07364260452896267,0.07903046100804627,-0.206493595792188,0.3570651388823687,-0.1053823564499779,0.482552528645289,0.2502698002773848,-0.020377120810789583,-0.48778482416935354,0.03133507786482065,0.01734480500591907
jkm_netback,0.7849898205566125,0.36718339498680824,0.8282181789369777,1.0,0.0005685033229725664,-0.011278291877379387,-0.06022129966098445,0.16239945487115945,-0.2288794263201372,0.3700510026874634,0.298920063892244,0.5688426691381813,-0.12483587184900283,,-0.06669314212518063,0.23801337750184323,0.6158343510772109,0.20869025151172438,-0.5382824549293976,-0.6094360756369087,-0.22447726462902368,-0.47797164269800935,-0.3059816955878952,-0.5439107765632549,0.25723655136435436,-0.5153952624988856,0.1009096233597036,0.17587154098148286,0.18691002006875293,-0.2428186798021256,0.60857265881534,0.2239223540678636,0.5980922652672545,0.4531732534442727,-0.03585872843446326,-0.40452949953446216,0.10893339969551008,0.06763366566484881
ghi,-0.07557318886515982,-0.016621244901387368,-0.09415705988818344,0.0005685033229725664,1.0,0.8012997435593131,0.482534976788336,-0.7127265858040862,0.1194021699464786,-0.06212646752217643,-0.005744789368347501,-0.0037869749205178384,0.5526685252732289,,0.305441899814914,0.2957432423872174,-0.015527546688855677,-0.015277311206947636,0.0009165901426202671,-0.047482120810012844,0.08654820571735214,0.04255002832296878,0.07900836404359501,0.04953817671252867,0.07184968653834897,0.028162837487651464,0.03208429307781273,0.027107211189683168,0.016275812838149006,0.04768167098541217,-0.0484968886655031,-0.07415566280771044,0.03724511808182711,0.20540869400899694,0.5467318078508693,0.06723361608048324,0.030198955924060744,-0.04399258943956314
dni,-0.1489241266125614,-0.005646750329923217,-0.05146696960678411,-0.011278291877379387,0.8012997435593131,1.0,0.04932341572045038,-0.7258908376496538,-0.16890489913256326,-0.08077237595466512,0.01573367856221797,-0.03852879778020293,0.717487920017708,,0.5586585451779742,0.404586533443074,-0.03169159707679401,-0.06812836854559258,0.028045941095634075,0.013781525793561487,0.06498861262934924,0.146705727118389,0.07178371897434649,0.059718494204418354,0.021724857537437903,0.0415540417421257,0.04346539610613477,0.029635929855078718,0.022887174125109898,0.05988735658821453,-0.04943924289506958,-0.13927269978268692,0.006246162088760205,-0.000173690988944728,0.8477702016849711,-0.002207527710754661,0.03642963376706759,-0.14133029190193597
temp_c,0.021874029047174847,0.25209671792732324,-0.21869800220734995,-0.06022129966098445,0.482534976788336,0.04932341572045038,1.0,-0.3148640227771755,0.36948121187281135,0.09769624241728694,0.210501457826605,0.11035617755292453,0.06109003767143034,,-0.15419158698735966,-0.010751560436191906,0.15416797915387634,-0.10047314354658628,0.23688752376919892,-0.0968284348676969,0.06719042494398368,-0.11821855799543532,0.20427386762478833,-0.19438800402416462,-0.17264106779687557,-0.15853372501546587,0.24467267132346784,0.2599318300747453,0.2520787195673946,0.19399583941991802,0.15910012928117354,0.24962167821085712,0.14299356956092418,0.28982081269519544,-0.08384591615057892,0.3508256096393607,0.2558579745321648,-0.08238718190299331
precip_mm,0.20186555227238742,0.045131300652004276,0.19116240788627967,0.16239945487115945,-0.7127265858040862,-0.7258908376496538,-0.3148640227771755,1.0,-0.35289083643988794,0.22766812405744066,-0.02099065488187485,0.21470556424435952,-0.7911646275575333,,-0.5634043486136917,-0.32079559863435986,0.21135311259886994,0.11150712149759252,-0.1339959388326936,-0.2702351334783331,-0.3283542319130539,-0.40439713822172646,-0.15165975894462133,-0.1972656618777096,0.09012159115912714,-0.17930084936683807,-0.03650757790844313,0.009149911488199929,0.013539721973657623,-0.12020944237171682,0.1782636402080858,0.23742723758161363,0.07846983245201491,0.08668649362274246,-0.7447854678163736,-0.09926377926724395,-0.010434671512129437,0.2170214171390207
aerosol_od,-0.08818540045648017,-0.271601476673513,-0.1377675566712358,-0.2288794263201372,0.1194021699464786,-0.16890489913256326,0.36948121187281135,-0.35289083643988794,1.0,-0.31810459674053715,-0.19737036523220972,-0.31775008003989114,0.36632692229717057,,0.1784424498721883,-0.06896212691492908,-0.3904747811310263,0.014516072181676288,-0.0011643849009248049,0.3798712188713373,0.38899859172295215,0.4169390392737836,0.042922001321858534,0.394405959481785,0.0749393906638441,0.3346307277787181,-0.17840766167890734,-0.23471415089294054,-0.23869281149173258,-0.03417029483059535,-0.36231667947713053,-0.31070735200615834,-0.18736778593246456,-0.06615490998199626,0.07659427162269972,0.06605954624721785,-0.21084653947664223,-0.03396017784823417
fx_reserves,0.3591723460733486,0.15918237444081618,0.2121173422826181,0.3700510026874634,-0.06212646752217643,-0.08077237595466512,0.09769624241728694,0.22766812405744066,-0.31810459674053715,1.0,0.03882766095246806,0.16675264498146103,-0.29588228224556107,,-0.15678816709672336,0.2716811571230819,0.3792318516189647,0.036508762271878895,-0.11436241691973471,-0.35353431165921095,-0.48614958837048894,-0.6513106747019974,-0.19446287939327553,-0.45815226256429104,-0.07903616581285237,-0.2895392104270576,0.1440683209787192,0.27990706284122246,0.28311238202898426,-0.04980914709036461,0.41819204144485866,0.4977269214313875,0.08007717890283562,0.5255517430978208,-0.1772208907963357,-0.021068691306627464,0.2568933107296486,0.3050065034240162
inflation,0.32046009934400166,0.9456938543172303,0.1489163685338049,0.298920063892244,-0.005744789368347501,0.01573367856221797,0.210501457826605,-0.02099065488187485,-0.19737036523220972,0.03882766095246806,1.0,0.6674716369333272,-0.08542580303950342,,-0.09955318891366507,0.019352020100589937,0.7370134476136475,-0.3586171288406823,0.3576274373823606,-0.441021771624539,0.10685573988919699,-0.1259003992102099,0.4106434013080252,-0.7129567951957315,-0.4409262800393121,-0.731281280274322,0.7852205773897029,0.7866188866181816,0.7976567613822687,0.4085892181722446,0.7029755304036385,0.4908720155782281,0.7860260850133521,-0.05325373635717356,-0.02557547614749337,0.2637678409910727,0.7419362376211743,-0.5316079452079054
gas_price,0.49546538795314143,0.7696899949413364,0.4462347732840343,0.5688426691381813,-0.0037869749205178384,-0.03852879778020293,0.11035617755292453,0.21470556424435952,-0.31775008003989114,0.16675264498146103,0.6674716369333272,1.0,-0.25410608924308803,,-0.23486541657201288,0.1036511104289178,0.9380806769536454,-0.00854666608264172,-0.08477759741837383,-0.854012779685032,-0.39014044008255955,-0.5457461145968118,-0.025371765976930086,-0.7798013614126383,0.108348276265601,-0.8883486014595746,0.4787245910740137,0.5488171113473874,0.5490225727906681,0.009599756157641578,0.817276615895266,0.43811192363483575,0.8859364967411343,0.30184069092478,-0.1545179311066252,-0.0010680866469076316,0.46855333347731337,-0.3366992449720411
