,count,missing,mean,median,std,min,max,skew,kurtosis
brent,132,0,67.7014,65.3638,16.8302,29.8543,117.9099,0.5408,0.6549
usdngn,132,0,615.5868,369.0,462.434,305.0,1601.482,1.2669,-0.1369
ttf_jkm,132,0,11.3513,7.2046,10.6048,1.7698,56.3045,2.4501,6.0994
jkm_netback,132,0,11.1391,10.2585,3.3344,6.2115,21.6146,1.252,1.5322
ghi,132,0,5.2909,5.3124,0.6137,3.6004,6.2648,-0.9211,0.3855
dni,132,0,3.0264,3.1882,1.1863,0.893,5.9714,0.3453,-0.194
temp_c,132,0,25.7788,25.2,1.7258,22.8809,30.798,1.075,0.7154
precip_mm,132,0,83.4716,26.97,104.541,0.0,387.6426,1.1436,0.3439
aerosol_od,132,0,0.5634,0.54,0.1626,0.283,1.129,0.5263,0.2723
fx_reserves,132,0,36.1595,36.0315,5.5789,28.1742,47.7885,0.1256,-0.8733
inflation,132,0,18.6848,16.4,6.7723,11.27,33.2421,1.1649,0.1784
gas_price,132,0,1.9461,2.05,0.1898,1.75,2.18,0.0185,-1.8601
harmattan,132,0,0.5227,1.0,0.5014,0.0,1.0,-0.0921,-2.0224
fm_dummy,132,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pipeline_down,132,0,6.25,7.0,2.1557,3.0,11.0,0.0235,-1.2145
vandalism_idx,132,0,3.8258,3.0,1.9241,0.0,11.0,1.0154,1.7616
plant_age_gas,132,0,34.9833,34.8162,2.5791,31.7647,39.6324,0.2065,-1.3157
gas_to_power,132,0,27146.7396,27313.2889,569.6525,23782.36,27722.1975,-3.1742,13.9571
domestic_alloc,132,0,30129.7225,32099.9125,19005.8337,0.0,84421.0433,0.4299,0.6041
eaf,132,0,45.8182,43.05,13.017,27.49,64.7,0.3871,-1.4148
Transmission_Loss_factor,132,0,8.3835,8.17,0.7423,7.19,10.0,0.2539,-1.0825
freq_collapse,132,0,1.75,1.0,2.2356,0.0,6.0,1.189,-0.25
load_variance,132,0,0.655,0.2954,0.8633,-0.11,3.5116,1.5845,2.2815
ATC&C,132,0,46.8309,46.85,6.4935,33.27,56.0,-0.3785,-0.8984
Tech_&_commercial_loss,132,0,20.2573,20.02,1.8236,17.31,23.43,0.3172,-0.5139
collection_loss,132,0,30.8139,30.58,4.8417,19.3,35.9,-0.5324,-0.6117
receivables,132,0,202337623963.8258,152000000000.0,230608685948.5654,53129000000.0,969000000000.0,2.6835,5.7693
Total_E_Billed_by_Disco,132,0,146159721283.2349,89655005564.0,195398116940.0207,47200000000.0,795000000000.0,2.6719,5.6737
Total_E_paid_to_Disco,132,0,106080444304.4546,54028828715.0,154428382418.7184,28700000000.0,631000000000.0,2.6674,5.6774
market_shortfall,132,0,57220141108.1742,43725981037.0,41042531627.4014,9973333333.0,191000000000.0,1.8094,3.094
disco_collect,132,0,67.9896,68.65,6.5928,58.0,80.7,0.266,-1.1879
Billing_efficiency,132,0,78.3215,78.1402,2.7663,73.0,83.66,0.1371,-1.158
nbet_ratio,132,0,58.2227,45.0,23.0121,18.25,96.93,0.2544,-1.367
gas_cf,132,0,27.4057,27.5,3.2706,22.81,34.66,0.1796,-0.6599
solar_cf,132,0,16.7614,16.25,3.2412,12.5,23.0,0.3745,-1.1413
Gas_constraint,132,0,1127651.807,1329475.209,890260.0711,0.0,4739451.493,0.8971,1.6563
Distribution_constraint,132,0,6377935.3271,994942.0751,15788683.2961,0.0,59138748.61,2.8142,6.2229
Transmission_constraint,132,0,59599.6772,59683.8938,30646.481,0.0,148800.0,0.3332,1.106
