,0
2015-01-01,3.5321
2015-02-01,3.2714
2015-03-01,2.4041
2015-04-01,2.5956
2015-05-01,2.46
2015-06-01,1.656
2015-07-01,1.9318
2015-08-01,1.0898
2015-09-01,2.0489
2015-10-01,2.9945
2015-11-01,5.3882
2015-12-01,3.8388
2016-01-01,3.6977
2016-02-01,2.5661
2016-03-01,2.5423
2016-04-01,3.0058
2016-05-01,2.3983
2016-06-01,1.9526
2016-07-01,1.5634
2016-08-01,1.2262
2016-09-01,1.8367
2016-10-01,3.5062
2016-11-01,4.5382
2016-12-01,4.2125
2017-01-01,3.4164
2017-02-01,2.8255
2017-03-01,3.3084
2017-04-01,2.3614
2017-05-01,2.9213
2017-06-01,2.1691
2017-07-01,1.6913
2017-08-01,1.079
2017-09-01,1.9778
2017-10-01,3.1289
2017-11-01,4.6992
2017-12-01,3.5311
2018-01-01,3.3725
2018-02-01,2.8718
2018-03-01,3.606
2018-04-01,2.2855
2018-05-01,1.883
2018-06-01,1.907
2018-07-01,1.6102
2018-08-01,1.3142
2018-09-01,2.2462
2018-10-01,2.9198
2018-11-01,5.2795
2018-12-01,4.2794
2019-01-01,4.1026
2019-02-01,2.7576
2019-03-01,3.4918
2019-04-01,2.808
2019-05-01,2.4578
2019-06-01,1.7993
2019-07-01,1.3234
2019-08-01,0.9919
2019-09-01,1.8828
2019-10-01,1.992
2019-11-01,4.8998
2019-12-01,5.971369999999996
2020-01-01,4.2185
2020-02-01,3.1574
2020-03-01,2.9102
2020-04-01,3.2712
2020-05-01,2.6678
2020-06-01,2.1422
2020-07-01,1.4448
2020-08-01,1.3176
2020-09-01,1.3613
2020-10-01,3.9794
2020-11-01,5.3179
2020-12-01,5.5073
2021-01-01,5.0729
2021-02-01,3.5074
2021-03-01,2.5027
2021-04-01,3.7267
2021-05-01,2.7866
2021-06-01,2.1876
2021-07-01,0.9125
2021-08-01,1.5305
2021-09-01,2.1427
2021-10-01,3.5426
2021-11-01,4.6894
2021-12-01,4.2694
2022-01-01,4.0116
2022-02-01,3.589
2022-03-01,1.9795
2022-04-01,2.3498
2022-05-01,2.4283
2022-06-01,1.95
2022-07-01,1.3481
2022-08-01,1.1071
2022-09-01,1.5571
2022-10-01,3.389
2022-11-01,4.9411
2022-12-01,5.16
2023-01-01,4.2137
2023-02-01,3.2328
2023-03-01,3.5069
2023-04-01,2.3354
2023-05-01,2.6431
2023-06-01,1.8334
2023-07-01,2.1386
2023-08-01,1.6495
2023-09-01,2.2934
2023-10-01,2.6126
2023-11-01,3.3485
2023-12-01,5.7137
2024-01-01,4.8982
2024-02-01,2.8493
2024-03-01,2.7763
2024-04-01,2.7482
2024-05-01,2.4089
2024-06-01,1.9826
2024-07-01,1.0332
2024-08-01,0.89297
2024-09-01,1.8902
2024-10-01,3.1178
2024-11-01,5.971369999999996
2024-12-01,5.1792
2025-01-01,4.5742
2025-02-01,3.2189
2025-03-01,3.3545
2025-04-01,3.0286
2025-05-01,2.3724
2025-06-01,2.4442
2025-07-01,0.9814
2025-08-01,0.89297
2025-09-01,2.057
2025-10-01,3.5062
2025-11-01,5.3239
