,0
2015-01-01,5.5224
2015-02-01,5.4204
2015-03-01,5.5212
2015-04-01,6.0139
2015-05-01,5.4756
2015-06-01,4.6562
2015-07-01,4.6714
2015-08-01,4.1095
2015-09-01,4.6949
2015-10-01,5.2512
2015-11-01,5.9998
2015-12-01,5.4914
2016-01-01,5.6311
2016-02-01,5.586
2016-03-01,5.2301
2016-04-01,5.8975
2016-05-01,5.4734
2016-06-01,4.8931
2016-07-01,4.6082
2016-08-01,4.1969
2016-09-01,4.823
2016-10-01,5.7002
2016-11-01,5.8411
2016-12-01,5.3794
2017-01-01,5.3124
2017-02-01,5.8584
2017-03-01,6.1968
2017-04-01,5.6155
2017-05-01,5.6503
2017-06-01,5.0825
2017-07-01,4.6555
2017-08-01,4.045
2017-09-01,4.961
2017-10-01,5.6688
2017-11-01,5.8975
2017-12-01,5.046
2018-01-01,5.6119
2018-02-01,5.4266
2018-03-01,5.7511
2018-04-01,5.3942
2018-05-01,5.0938
2018-06-01,4.8259
2018-07-01,4.567
2018-08-01,4.1904
2018-09-01,4.9918
2018-10-01,5.3198
2018-11-01,5.9143
2018-12-01,5.5133
2019-01-01,5.5577
2019-02-01,5.3462
2019-03-01,6.0029
2019-04-01,5.8306
2019-05-01,5.3959
2019-06-01,4.5463
2019-07-01,4.2055
2019-08-01,3.8388
2019-09-01,4.9046
2019-10-01,4.5766
2019-11-01,5.7118
2019-12-01,6.0425
2020-01-01,5.7998
2020-02-01,5.8627
2020-03-01,5.8306
2020-04-01,6.0211
2020-05-01,5.5202
2020-06-01,5.1098
2020-07-01,4.2293
2020-08-01,4.061
2020-09-01,4.2626
2020-10-01,5.7365
2020-11-01,5.9638
2020-12-01,5.7559
2021-01-01,6.0214
2021-02-01,5.9544
2021-03-01,5.5613
2021-04-01,6.26485
2021-05-01,5.6746
2021-06-01,4.9781
2021-07-01,3.8592
2021-08-01,4.3932
2021-09-01,5.0153
2021-10-01,5.6803
2021-11-01,5.7528
2021-12-01,5.4775
2022-01-01,5.6081
2022-02-01,6.26485
2022-03-01,5.4583
2022-04-01,5.4864
2022-05-01,5.443
2022-06-01,4.8101
2022-07-01,4.4021
2022-08-01,3.713
2022-09-01,4.2276
2022-10-01,5.5846
2022-11-01,5.9122
2022-12-01,5.6642
2023-01-01,5.6878
2023-02-01,5.8368
2023-03-01,6.0154
2023-04-01,5.6148
2023-05-01,5.531
2023-06-01,4.7364
2023-07-01,4.938
2023-08-01,4.4995
2023-09-01,5.1353
2023-10-01,5.1922
2023-11-01,5.1566
2023-12-01,5.881
2024-01-01,5.9897
2024-02-01,5.5927
2024-03-01,5.7965
2024-04-01,5.8565
2024-05-01,5.3069
2024-06-01,4.5778
2024-07-01,4.0274
2024-08-01,3.6004400000000003
2024-09-01,4.7964
2024-10-01,5.2519
2024-11-01,6.2568
2024-12-01,5.7691
2025-01-01,5.8226
2025-02-01,5.783
2025-03-01,6.155
2025-04-01,5.9366
2025-05-01,5.4293
2025-06-01,5.047
2025-07-01,3.835
2025-08-01,3.6004400000000003
2025-09-01,4.7666
2025-10-01,5.538
2025-11-01,6.0178
