,0
2015-01-01,0.0
2015-02-01,9.24
2015-03-01,21.080000000000002
2015-04-01,12.299999999999999
2015-05-01,39.68
2015-06-01,76.5
2015-07-01,209.86999999999998
2015-08-01,189.1
2015-09-01,186.9
2015-10-01,80.91
2015-11-01,6.9
2015-12-01,0.0
2016-01-01,0.0
2016-02-01,0.0
2016-03-01,42.160000000000004
2016-04-01,81.60000000000001
2016-05-01,202.43
2016-06-01,168.9
2016-07-01,314.96
2016-08-01,261.02
2016-09-01,273.59999999999997
2016-10-01,122.14
2016-11-01,0.3
2016-12-01,0.0
2017-01-01,0.0
2017-02-01,0.0
2017-03-01,1.24
2017-04-01,59.7
2017-05-01,190.03
2017-06-01,205.5
2017-07-01,224.75
2017-08-01,273.11
2017-09-01,165.9
2017-10-01,70.37
2017-11-01,0.0
2017-12-01,0.31
2018-01-01,0.0
2018-02-01,14.84
2018-03-01,2.48
2018-04-01,19.8
2018-05-01,87.11
2018-06-01,246.9
2018-07-01,172.04999999999998
2018-08-01,244.59
2018-09-01,133.8
2018-10-01,89.89999999999999
2018-11-01,4.2
2018-12-01,0.0
2019-01-01,0.31
2019-02-01,1.9600000000000002
2019-03-01,7.13
2019-04-01,6.0
2019-05-01,106.95
2019-06-01,106.5
2019-07-01,163.99
2019-08-01,344.40999999999997
2019-09-01,256.8
2019-10-01,270.01000000000005
2019-11-01,38.1
2019-12-01,0.0
2020-01-01,0.0
2020-02-01,0.0
2020-03-01,33.79
2020-04-01,133.20000000000002
2020-05-01,159.03
2020-06-01,198.3
2020-07-01,350.61
2020-08-01,130.51
2020-09-01,283.2
2020-10-01,96.72
2020-11-01,4.5
2020-12-01,0.0
2021-01-01,0.0
2021-02-01,0.28
2021-03-01,26.97
2021-04-01,51.6
2021-05-01,69.75
2021-06-01,247.79999999999998
2021-07-01,238.70000000000002
2021-08-01,331.39
2021-09-01,223.5
2021-10-01,134.23
2021-11-01,41.4
2021-12-01,4.03
2022-01-01,29.139999999999997
2022-02-01,0.0
2022-03-01,26.04
2022-04-01,162.0
2022-05-01,387.6425999999998
2022-06-01,288.29999999999995
2022-07-01,137.32999999999998
2022-08-01,346.58
2022-09-01,234.9
2022-10-01,129.57999999999998
2022-11-01,0.3
2022-12-01,0.0
2023-01-01,0.31
2023-02-01,2.24
2023-03-01,23.56
2023-04-01,35.099999999999994
2023-05-01,96.41
2023-06-01,245.1
2023-07-01,150.97
2023-08-01,151.59
2023-09-01,148.20000000000002
2023-10-01,152.21
2023-11-01,24.599999999999998
2023-12-01,0.0
2024-01-01,0.0
2024-02-01,1.74
2024-03-01,26.97
2024-04-01,63.3
2024-05-01,81.22
2024-06-01,121.5
2024-07-01,387.6425999999998
2024-08-01,141.04999999999998
2024-09-01,126.3
2024-10-01,101.37
2024-11-01,0.0
2024-12-01,0.0
2025-01-01,0.0
2025-02-01,4.2
2025-03-01,3.7199999999999998
2025-04-01,54.6
2025-05-01,63.86
2025-06-01,171.9
2025-07-01,177.01
2025-08-01,179.18
2025-09-01,188.4
2025-10-01,81.22
2025-11-01,2.4
2025-12-01,0.31
2026-01-01,0.31
2026-02-01,0.31
2026-03-01,0.31
2026-04-01,
2026-05-01,
