variable,original_completeness_pct,final_completeness_pct,improvement_pct
gas_to_power,6.2,100.0,93.8
domestic_alloc,6.2,100.0,93.8
load_variance,10.6,100.0,89.4
Gas_constraint,13.3,100.0,86.7
Transmission_constraint,13.3,100.0,86.7
Distribution_constraint,13.3,100.0,86.7
Tech_&_commercial_loss,68.1,100.0,31.900000000000006
collection_loss,68.1,100.0,31.900000000000006
market_shortfall,73.5,100.0,26.5
Total_E_Rec_by_disco,76.1,100.0,23.900000000000006
ATC&C,78.8,100.0,21.200000000000003
gas_cf,79.6,100.0,20.400000000000006
Total_E_Billed_by_Disco,81.4,100.0,18.599999999999994
Total_E_paid_to_Disco,81.4,100.0,18.599999999999994
freq_collapse,83.2,100.0,16.799999999999997
eaf,84.1,100.0,15.900000000000006
Billing_efficiency,84.1,100.0,15.900000000000006
disco_collect,94.7,100.0,5.299999999999997
nbet_pay_ratio,94.7,100.0,5.299999999999997
Transmission_Loss_factor,94.7,100.0,5.299999999999997
usdngn,100.0,100.0,0.0
brent,100.0,100.0,0.0
dni,100.0,100.0,0.0
ghi,100.0,100.0,0.0
jkm_netback,100.0,100.0,0.0
ttf_jkm,100.0,100.0,0.0
vandalism_idx,100.0,100.0,0.0
pipeline_down,100.0,100.0,0.0
plant_age_gas,100.0,100.0,0.0
fm_dummy,100.0,100.0,0.0
precip_mm,98.2,98.2,0.0
aerosol_od,100.0,100.0,0.0
temp_c,100.0,100.0,0.0
fx_reserves,100.0,100.0,0.0
inflation,100.0,100.0,0.0
gas_price,100.0,100.0,0.0
harmattan,100.0,100.0,0.0
solar_cf,100.0,100.0,0.0
