,0
2015-01-01,24.97
2015-02-01,29.17
2015-03-01,28.81
2015-04-01,29.36
2015-05-01,28.77
2015-06-01,26.41
2015-07-01,24.8
2015-08-01,24.22
2015-09-01,24.62
2015-10-01,25.63
2015-11-01,26.18
2015-12-01,24.21
2016-01-01,25.99
2016-02-01,28.72
2016-03-01,30.05
2016-04-01,29.01
2016-05-01,26.75
2016-06-01,25.09
2016-07-01,24.27
2016-08-01,24.11
2016-09-01,24.38
2016-10-01,25.15
2016-11-01,24.91
2016-12-01,23.94
2017-01-01,25.2
2017-02-01,26.26
2017-03-01,29.41
2017-04-01,28.45
2017-05-01,26.36
2017-06-01,25.6
2017-07-01,24.51
2017-08-01,24.08
2017-09-01,24.53
2017-10-01,25.32
2017-11-01,24.97
2017-12-01,24.96
2018-01-01,23.8
2018-02-01,27.73
2018-03-01,29.06
2018-04-01,28.82
2018-05-01,26.83
2018-06-01,25.19
2018-07-01,24.44
2018-08-01,24.01
2018-09-01,24.56
2018-10-01,25.23
2018-11-01,26.28
2018-12-01,25.22
2019-01-01,26.58
2019-02-01,27.9
2019-03-01,30.01
2019-04-01,30.66
2019-05-01,27.27
2019-06-01,26.04
2019-07-01,24.82
2019-08-01,23.89
2019-09-01,24.62
2019-10-01,24.19
2019-11-01,25.62
2019-12-01,23.39
2020-01-01,23.8
2020-02-01,26.49
2020-03-01,28.65
2020-04-01,27.01
2020-05-01,26.34
2020-06-01,25.07
2020-07-01,23.86
2020-08-01,23.71
2020-09-01,24.11
2020-10-01,24.82
2020-11-01,24.85
2020-12-01,25.35
2021-01-01,25.54
2021-02-01,27.0
2021-03-01,28.23
2021-04-01,28.18
2021-05-01,27.69
2021-06-01,25.35
2021-07-01,24.11
2021-08-01,23.92
2021-09-01,24.59
2021-10-01,25.3
2021-11-01,24.78
2021-12-01,22.8809
2022-01-01,23.15
2022-02-01,24.83
2022-03-01,27.95
2022-04-01,26.66
2022-05-01,25.68
2022-06-01,24.56
2022-07-01,24.14
2022-08-01,23.72
2022-09-01,23.98
2022-10-01,24.36
2022-11-01,23.89
2022-12-01,22.8809
2023-01-01,23.71
2023-02-01,25.94
2023-03-01,27.43
2023-04-01,28.04
2023-05-01,27.22
2023-06-01,25.3
2023-07-01,25.38
2023-08-01,25.04
2023-09-01,25.49
2023-10-01,26.05
2023-11-01,26.07
2023-12-01,25.56
2024-01-01,25.8
2024-02-01,28.88
2024-03-01,30.05
2024-04-01,29.87
2024-05-01,28.08
2024-06-01,26.43
2024-07-01,24.96
2024-08-01,24.38
2024-09-01,24.93
2024-10-01,25.13
2024-11-01,24.37
2024-12-01,24.82
2025-01-01,27.06
2025-02-01,28.75
2025-03-01,30.798
2025-04-01,30.798
2025-05-01,28.55
2025-06-01,25.96
2025-07-01,24.43
2025-08-01,24.08
2025-09-01,24.93
2025-10-01,25.51
2025-11-01,27.18
2025-12-01,27.78
